1	3 
2	2 
3	4 
4	6 
5	2 
6	9 
7	1 
8	2 
9	2 
10	4 
11	10 
12	6 
13	7 
14	1 
15	5 
16	2 
17	6 
18	4 
19	10 
20	4 
21	10 
22	7 
23	3 
24	10 
25	5 
26	2 
27	6 
28	9 
29	4 
30	10 
31	9 
32	7 
33	8 
34	9 
35	2 
36	4 
37	10 
38	8 
39	1 
40	8 
41	1 
42	9 
43	9 
44	4 
45	5 
46	2 
47	10 
48	7 
49	3 
50	9 
51	4 
52	10 
53	4 
54	7 
55	1 
56	4 
57	7 
58	2 
59	10 
60	3 
61	2 
62	7 
63	3 
64	10 
65	6 
66	3 
67	2 
68	6 
69	4 
70	7 
71	1 
72	5 
73	5 
74	4 
75	5 
76	3 
77	1 
78	8 
79	6 
80	1 
81	4 
82	8 
83	7 
84	8 
85	7 
86	2 
87	6 
88	10 
89	10 
90	10 
91	10 
92	10 
93	3 
94	10 
95	5 
96	7 
97	4 
98	2 
99	1 
100	6 
101	1 
102	1 
103	5 
104	3 
105	6 
106	7 
107	4 
108	10 
109	10 
110	2 
111	7 
112	3 
113	8 
114	7 
115	4 
116	7 
117	4 
118	2 
119	6 
120	3 
121	10 
122	3 
123	4 
124	8 
125	3 
126	10 
127	7 
128	7 
129	4 
130	5 
131	3 
132	3 
133	4 
134	9 
135	3 
136	2 
137	4 
138	9 
139	4 
140	1 
141	1 
142	5 
143	7 
144	2 
145	7 
146	6 
147	1 
148	1 
149	9 
150	8 
151	3 
152	1 
153	5 
154	3 
155	4 
156	1 
157	10 
158	2 
159	3 
160	5 
161	10 
162	2 
163	5 
164	2 
165	8 
166	3 
167	6 
168	5 
169	4 
170	1 
171	2 
172	5 
173	9 
174	4 
175	4 
176	1 
177	9 
178	3 
179	10 
180	3 
181	7 
182	5 
183	4 
184	3 
185	1 
186	4 
187	4 
188	7 
189	10 
190	1 
191	2 
192	1 
193	1 
194	4 
195	4 
196	1 
197	4 
198	1 
199	5 
200	3 
201	10 
202	10 
203	4 
204	5 
205	6 
206	6 
207	10 
208	2 
209	10 
210	3 
211	5 
212	10 
213	6 
214	7 
215	7 
216	5 
217	10 
218	3 
219	1 
220	6 
221	7 
222	7 
223	6 
224	6 
225	6 
226	4 
227	9 
228	8 
229	2 
230	4 
231	6 
232	6 
233	2 
234	10 
235	2 
236	2 
237	5 
238	9 
239	9 
240	10 
241	2 
242	3 
243	6 
244	6 
245	2 
246	4 
247	2 
248	1 
249	8 
250	9 
251	4 
252	3 
253	3 
254	9 
255	7 
256	6 
257	9 
258	5 
259	4 
260	10 
261	10 
262	10 
263	5 
264	5 
265	10 
266	2 
267	10 
268	10 
269	10 
270	10 
271	6 
272	2 
273	3 
274	10 
275	4 
276	5 
277	4 
278	5 
279	2 
280	3 
281	8 
282	3 
283	10 
284	4 
285	10 
286	4 
287	2 
288	8 
289	4 
290	10 
291	5 
292	1 
293	1 
294	9 
295	7 
296	10 
297	10 
298	5 
299	6 
300	1 
301	2 
302	9 
303	4 
304	2 
305	6 
306	4 
307	4 
308	1 
309	9 
310	10 
311	2 
312	4 
313	8 
314	10 
315	6 
316	5 
317	9 
318	1 
319	7 
320	7 
321	10 
322	7 
323	6 
324	1 
325	5 
326	9 
327	4 
328	10 
329	9 
330	8 
331	7 
332	2 
333	10 
334	8 
335	4 
336	10 
337	3 
338	5 
339	10 
340	4 
341	1 
342	8 
343	2 
344	2 
345	7 
346	5 
347	4 
348	2 
349	1 
350	10 
351	4 
352	9 
353	4 
354	9 
355	2 
356	2 
357	9 
358	9 
359	1 
360	6 
361	5 
362	5 
363	1 
364	4 
365	3 
366	5 
367	9 
368	6 
369	3 
370	10 
371	10 
372	8 
373	3 
374	2 
375	6 
376	5 
377	7 
378	2 
379	10 
380	6 
381	4 
382	1 
383	1 
384	4 
385	3 
386	2 
387	1 
388	8 
389	7 
390	2 
391	9 
392	9 
393	7 
394	9 
395	7 
396	7 
397	10 
398	5 
399	4 
400	4 
401	9 
402	4 
403	9 
404	5 
405	7 
406	3 
407	9 
408	7 
409	4 
410	6 
411	4 
412	1 
413	1 
414	4 
415	2 
416	7 
417	6 
418	1 
419	10 
420	4 
421	7 
422	9 
423	1 
424	5 
425	1 
426	1 
427	2 
428	3 
429	6 
430	9 
431	1 
432	5 
433	5 
434	4 
435	6 
436	6 
437	5 
438	9 
439	10 
440	10 
441	3 
442	10 
443	5 
444	1 
445	3 
446	1 
447	4 
448	2 
449	4 
450	9 
451	7 
452	10 
453	3 
454	10 
455	6 
456	4 
457	1 
458	10 
459	8 
460	7 
461	4 
462	7 
463	1 
464	4 
465	7 
466	1 
467	4 
468	10 
469	5 
470	3 
471	4 
472	6 
473	9 
474	5 
475	6 
476	4 
477	10 
478	7 
479	10 
480	1 
481	10 
482	6 
483	10 
484	5 
485	7 
486	10 
487	7 
488	9 
489	4 
490	2 
491	3 
492	2 
493	7 
494	5 
495	2 
496	8 
497	9 
498	7 
499	3 
500	10 
