Source,Target
0,377
0,587
0,709
0,4
1,961
1,309
1,283
1,713
2,885
2,569
2,571
2,291
3,487
3,972
3,542
3,241
4,377
4,495
5,385
5,106
5,37
6,957
6,640
6,895
7,315
7,737
7,824
8,625
8,976
8,973
8,524
8,273
8,114
8,572
8,133
8,259
9,635
9,264
9,504
9,727
9,226
9,783
9,902
9,420
9,756
10,884
10,952
10,159
10,610
10,444
10,803
10,236
10,930
10,857
11,711
11,112
11,843
11,844
11,731
11,64
11,778
11,137
11,364
12,131
12,459
12,13
12,545
13,707
13,225
13,545
14,537
14,50
14,893
14,724
14,19
14,387
14,359
14,810
14,256
15,834
15,449
15,766
15,452
15,913
15,969
15,353
15,493
15,532
16,736
16,90
16,227
16,544
16,510
16,839
16,40
17,537
17,633
17,966
17,484
17,777
17,413
17,233
18,105
18,592
18,112
18,968
18,729
18,669
18,602
19,463
19,966
19,774
19,777
19,413
19,561
20,410
20,840
20,933
20,601
20,718
20,302
20,872
21,735
21,891
21,838
21,776
21,800
21,845
21,866
22,538
22,406
22,308
22,927
22,562
22,936
22,870
23,764
23,138
23,112
23,968
23,485
23,673
23,375
24,261
24,262
24,893
24,537
24,440
24,217
24,561
25,539
25,223
25,776
25,821
25,422
25,865
25,329
26,710
26,180
26,815
26,273
26,138
26,999
26,426
27,504
27,727
27,902
27,600
28,746
28,225
28,412
29,875
29,709
29,663
29,609
30,743
30,186
30,892
30,405
31,890
31,750
31,864
31,608
32,486
32,967
32,178
32,205
33,707
33,935
33,526
33,624
33,545
34,779
34,767
34,719
34,340
35,730
35,229
35,277
35,436
36,37
36,441
36,965
37,773
38,923
38,599
38,94
39,991
39,270
39,626
40,864
40,267
41,967
41,862
41,710
42,865
42,838
42,350
43,415
43,451
43,859
44,767
44,333
44,66
45,129
45,330
45,236
46,824
46,869
46,657
46,978
46,765
47,590
47,372
47,869
47,237
47,981
48,121
48,758
48,555
48,870
48,155
49,628
49,634
49,407
49,868
49,283
50,966
50,948
50,761
50,801
51,98
51,899
51,842
51,861
51,576
52,331
52,683
52,947
52,824
52,368
53,403
53,231
53,629
53,427
53,720
54,457
54,594
54,651
55,932
55,880
55,776
56,224
56,334
56,940
57,838
57,314
57,539
58,559
58,542
58,69
59,439
59,595
59,897
60,254
60,858
60,392
61,450
61,373
61,901
62,517
62,613
62,457
63,544
63,193
63,470
64,755
64,461
65,663
65,573
65,851
66,443
66,410
67,831
67,574
67,454
68,272
68,396
68,962
69,905
69,542
70,379
70,347
70,419
71,121
71,663
71,371
72,536
72,282
72,407
72,986
72,713
73,683
73,227
73,472
73,286
74,653
74,483
74,949
74,435
74,883
75,536
75,961
75,188
75,713
75,312
76,866
76,424
76,544
76,249
76,286
77,890
77,99
77,907
77,102
77,454
78,757
78,98
78,83
78,575
78,93
79,885
79,315
79,380
79,458
79,575
80,254
80,82
80,509
80,186
80,519
81,476
81,281
81,937
81,794
81,489
82,279
82,572
82,228
82,858
83,757
83,324
83,575
83,895
84,867
84,915
84,301
84,421
85,367
85,915
85,325
85,901
86,936
86,969
86,308
86,191
87,867
87,144
87,964
87,898
88,976
88,152
88,301
88,594
89,890
89,868
89,956
89,543
90,431
90,767
90,156
91,587
91,597
91,456
91,408
92,194
92,177
92,758
92,975
93,842
93,375
93,763
94,937
94,724
95,804
95,867
95,586
96,934
96,474
96,237
97,279
97,411
97,892
98,348
99,701
99,466
100,709
100,308
100,502
101,158
101,894
101,128
102,701
102,412
103,889
103,430
103,587
104,407
104,467
104,642
105,793
105,112
105,154
105,118
105,778
105,602
105,566
105,617
105,921
105,711
105,676
106,680
106,243
106,907
106,109
106,965
106,441
106,757
106,887
106,168
106,701
106,403
107,569
107,717
107,942
108,244
108,840
108,660
109,735
109,589
109,539
109,841
109,725
109,223
109,880
109,643
109,614
109,252
109,760
110,590
110,406
110,540
110,408
110,687
110,637
110,916
110,188
110,645
110,451
110,773
110,373
111,378
111,382
111,722
111,927
111,319
111,749
111,936
111,528
111,719
111,541
111,258
111,136
112,345
112,711
112,715
112,154
112,485
112,294
112,793
112,425
113,255
113,127
113,779
114,607
114,695
115,906
115,405
115,892
116,282
116,854
116,217
117,951
117,842
117,895
118,294
118,844
119,672
119,126
119,910
120,795
120,836
120,230
121,332
121,937
121,281
121,497
122,516
122,836
122,636
122,229
122,277
122,399
123,957
123,408
123,962
123,773
123,392
123,372
124,405
124,849
124,480
124,743
124,228
124,279
125,884
125,159
125,276
125,554
125,132
125,987
126,837
126,406
126,742
126,743
126,751
127,945
127,403
127,736
128,879
128,159
128,884
129,884
129,444
129,977
130,540
130,282
130,716
130,828
131,707
131,155
131,412
132,298
132,520
132,714
133,835
133,179
133,712
134,895
134,899
134,181
134,211
135,263
135,676
135,731
135,566
136,823
136,538
136,927
137,592
137,154
137,306
137,843
137,844
137,731
137,966
137,366
138,843
139,974
139,594
139,973
140,185
140,774
140,359
141,226
141,878
141,971
142,961
142,536
142,312
143,968
143,711
143,843
144,764
144,675
145,721
145,517
145,718
146,707
146,545
146,412
147,890
147,658
147,266
148,934
148,153
148,518
148,408
148,596
149,224
149,716
149,340
149,992
149,428
149,557
149,197
150,709
150,836
150,730
150,229
150,230
150,512
150,667
150,825
150,494
150,374
151,589
151,696
151,348
151,358
151,899
151,569
151,648
151,652
151,576
152,623
152,710
152,894
152,383
152,227
152,732
152,750
152,618
152,712
153,502
153,384
153,637
153,442
153,846
153,830
153,746
153,327
153,901
154,306
154,843
154,844
154,366
154,355
154,294
154,574
155,709
155,402
155,336
155,409
155,382
155,851
155,870
155,497
156,737
156,265
156,410
156,212
156,443
156,546
156,820
156,886
156,280
157,405
157,857
157,743
157,946
157,585
157,279
157,232
157,296
157,280
158,514
158,623
158,451
158,840
158,484
158,733
158,527
158,980
158,572
159,621
159,714
159,879
159,444
159,418
159,398
159,930
160,396
160,408
160,979
160,259
160,869
160,657
160,901
161,867
161,563
161,374
162,820
162,649
162,719
163,395
163,228
163,496
164,332
164,491
164,769
165,306
165,673
165,723
166,204
166,629
166,733
167,449
167,969
167,452
168,574
168,941
169,782
169,279
169,946
170,934
170,736
170,945
171,587
171,182
171,839
172,766
172,969
172,571
173,682
173,457
173,712
173,222
173,522
173,215
173,732
173,294
173,426
174,536
174,176
174,407
174,713
174,309
174,312
174,628
174,283
174,986
175,984
175,520
175,714
176,961
176,892
176,309
176,868
176,283
176,986
177,685
177,473
177,228
177,411
177,585
177,698
178,514
178,448
178,179
178,712
178,543
178,999
179,710
179,974
179,457
179,290
179,750
180,938
180,383
180,976
180,522
180,457
180,290
181,594
181,835
181,484
181,543
182,406
182,839
182,915
182,544
182,352
182,513
183,835
183,710
183,712
183,967
183,190
183,572
183,609
184,745
184,542
184,753
184,295
184,241
185,561
185,440
185,761
185,360
186,356
186,910
186,849
187,690
187,798
187,724
187,499
187,531
188,540
188,583
188,671
189,687
189,605
189,540
189,871
189,503
190,934
190,637
190,408
190,590
191,612
191,281
191,726
191,758
192,636
192,867
192,789
193,214
193,280
194,888
194,822
195,865
195,422
195,725
196,415
196,835
196,543
197,716
197,989
198,655
198,227
198,409
199,765
199,917
199,637
200,645
200,638
200,562
201,451
201,712
201,859
202,711
202,677
202,731
203,414
203,729
203,711
204,907
204,574
205,665
205,998
206,728
206,325
206,238
206,627
206,329
207,580
207,577
207,508
208,616
208,761
208,413
209,403
209,631
209,574
210,736
210,227
210,708
211,957
211,550
212,546
212,317
212,510
212,255
213,556
213,901
213,627
213,250
213,808
214,708
214,545
214,719
214,949
215,924
215,534
215,835
215,527
216,816
216,307
216,544
216,280
216,708
217,989
217,716
217,340
218,398
218,884
218,374
219,330
219,256
219,444
220,589
220,564
220,575
221,857
221,950
221,910
222,448
222,835
222,534
222,383
222,543
222,974
222,967
222,890
222,732
222,750
222,809
222,572
222,400
222,792
223,735
223,693
223,891
223,911
223,307
223,841
223,313
223,664
223,614
223,530
223,865
223,760
223,328
224,282
224,625
224,989
224,716
224,780
224,704
224,992
224,418
224,334
224,811
224,340
224,573
224,239
225,624
225,739
225,298
225,506
225,505
225,226
225,545
225,412
225,526
225,767
225,746
225,588
225,762
226,343
226,727
226,508
226,971
226,801
226,361
226,468
226,600
226,921
226,654
226,923
226,900
227,331
227,737
227,767
227,410
227,310
227,544
227,510
227,424
227,719
227,303
228,405
228,910
228,950
228,743
228,630
228,936
228,232
228,279
228,254
228,300
229,836
229,775
229,563
229,898
229,825
229,667
229,339
229,316
229,230
229,982
229,678
230,405
230,836
230,686
230,535
230,775
230,730
230,316
230,939
230,234
230,399
230,789
231,680
231,344
231,907
231,958
231,454
231,507
231,441
231,670
231,941
231,235
231,887
231,574
231,720
232,837
232,732
232,751
232,496
233,304
233,966
233,413
233,948
233,761
234,535
234,563
234,666
234,982
234,720
235,403
235,243
235,629
235,289
235,720
236,621
236,330
236,884
236,500
237,536
237,752
237,830
237,373
238,962
238,710
238,627
238,501
238,817
239,854
239,349
239,914
239,989
239,282
240,591
240,727
240,308
240,339
240,297
240,788
241,542
241,972
241,838
241,753
242,330
242,884
242,520
242,714
243,403
243,891
244,457
244,335
245,405
245,812
245,687
246,318
246,406
246,692
247,355
247,345
247,843
248,490
248,441
248,631
249,719
249,942
250,916
250,912
251,907
251,574
251,941
252,838
252,866
252,911
253,547
253,714
253,854
253,444
255,410
256,966
256,877
257,688
257,507
257,882
257,720
258,462
258,690
258,491
259,894
259,543
260,284
260,843
260,852
261,721
261,761
262,537
262,948
263,306
263,968
264,504
264,902
265,708
265,410
266,415
266,667
267,945
267,445
268,569
268,957
268,576
269,622
269,811
269,334
270,736
270,335
270,840
270,524
270,863
270,940
270,747
270,718
271,506
271,459
271,958
271,545
272,666
272,917
272,728
273,636
273,706
274,747
274,519
274,335
274,872
275,501
275,687
275,442
275,886
276,952
276,984
276,714
277,333
277,954
278,576
278,896
278,942
278,446
279,944
279,946
279,742
279,785
279,296
279,915
279,691
279,672
280,736
280,737
280,683
280,816
280,443
280,544
280,368
280,483
280,980
280,719
281,707
281,875
281,538
