Source,Target
0,342
0,407
0,441
0,321
0,392
0,394
0,78
1,230
1,154
1,49
1,496
1,484
1,180
1,487
2,70
2,47
2,490
2,172
2,205
2,130
2,429
3,371
3,438
3,377
3,347
3,304
3,352
3,135
4,45
4,295
4,122
4,313
4,133
4,356
5,24
5,200
5,92
5,73
5,178
5,179
6,374
6,477
6,150
6,188
6,325
6,208
6,134
7,46
7,378
7,72
7,347
7,160
7,484
7,499
8,434
8,45
8,69
8,491
8,494
8,153
8,76
9,462
9,387
9,490
9,152
9,70
9,426
9,286
10,270
10,456
10,313
10,437
10,494
11,217
11,343
11,401
11,296
11,345
12,412
12,444
12,80
12,355
12,491
13,46
13,342
13,76
13,288
13,318
14,320
14,483
14,479
14,365
14,497
15,277
15,44
15,69
15,222
15,59
16,22
16,82
16,238
16,249
16,260
17,201
17,453
17,338
17,35
17,71
18,255
18,53
18,498
18,56
18,72
19,340
19,171
19,34
19,156
19,283
20,186
20,51
20,194
20,367
21,148
21,103
21,305
21,326
22,30
22,478
22,310
23,31
23,164
23,201
23,304
24,73
24,252
24,380
25,122
25,149
25,298
25,199
26,101
26,367
26,68
26,173
27,39
27,324
27,486
27,435
28,422
28,309
28,480
28,273
29,435
29,299
29,294
29,61
30,254
30,173
30,367
30,100
31,168
31,423
31,49
31,201
32,234
32,137
32,285
32,495
32,366
33,291
33,236
33,75
33,193
33,481
34,198
34,342
34,45
34,284
35,490
35,130
35,318
35,376
36,486
36,152
36,344
36,70
36,376
37,236
37,481
37,307
37,75
37,291
38,74
38,347
38,487
38,49
38,137
39,245
39,435
39,299
39,486
40,370
40,141
40,81
40,232
40,253
40,85
40,159
40,361
40,317
40,211
40,135
40,166
40,431
41,491
41,470
41,295
41,88
41,300
41,122
41,256
41,392
41,284
41,444
41,76
41,79
42,140
42,119
42,341
42,293
42,280
42,287
42,70
42,155
42,131
42,427
42,337
42,167
43,196
43,339
43,246
43,323
43,235
43,124
43,362
43,381
43,327
43,483
43,320
43,353
44,428
44,487
44,438
44,377
44,49
44,315
44,90
44,72
44,386
44,135
44,389
45,285
45,437
45,48
45,91
45,149
45,274
45,298
45,79
46,126
46,290
46,199
46,440
46,77
46,277
46,284
46,413
46,494
46,94
47,376
47,343
47,286
47,490
47,172
47,190
47,396
47,130
47,394
47,429
47,368
48,288
48,198
48,199
48,295
48,216
48,492
48,284
48,341
48,304
48,298
48,77
49,472
49,449
49,412
49,152
49,154
49,423
49,498
49,487
50,486
50,231
50,335
51,82
51,101
52,498
52,315
52,496
53,416
53,428
54,149
54,219
54,79
55,168
55,169
55,481
56,428
56,496
57,256
57,324
57,345
58,134
58,146
58,203
59,172
59,450
60,343
60,221
60,489
61,486
61,480
62,148
62,486
62,480
63,131
63,427
63,136
64,134
64,203
64,336
65,491
65,342
65,87
66,303
66,104
66,341
67,437
67,78
67,222
68,382
68,478
69,370
70,344
70,439
70,346
70,396
70,130
70,446
70,356
71,338
71,438
71,201
71,453
71,315
71,154
71,484
71,428
71,498
71,134
72,428
72,311
72,322
72,109
72,174
72,499
72,164
72,487
73,229
73,117
73,92
73,200
73,380
73,278
73,272
73,443
73,106
74,484
74,496
74,201
74,347
74,359
74,191
74,498
74,164
74,135
74,388
75,96
75,307
75,481
75,169
75,258
75,132
75,210
75,193
75,182
76,198
76,199
76,153
76,418
76,302
76,310
76,181
76,127
77,372
77,342
77,302
77,441
77,423
77,78
77,129
77,105
77,356
78,490
78,370
78,406
78,492
78,279
78,126
78,153
78,184
79,199
79,88
79,215
79,216
79,184
79,419
79,426
79,298
80,456
80,199
80,440
80,284
80,366
81,317
