Source,Target
0,808
0,1813
0,171
1,1248
1,1938
1,1315
2,1338
2,29
2,1264
3,474
3,1604
3,1522
4,1031
4,94
4,631
5,1186
5,1864
5,1568
6,857
6,1928
6,66
7,923
7,714
7,397
8,1889
8,1227
8,1983
9,41
9,164
9,764
10,701
10,271
10,304
11,979
11,1731
11,1682
12,1093
12,1289
12,1703
13,1434
13,1395
13,788
14,131
14,872
14,215
15,1490
15,460
15,1251
16,964
16,1599
16,154
17,1195
17,1345
17,1851
18,1754
18,1630
18,1982
19,1320
19,1911
19,1243
20,1601
20,1759
20,827
21,48
21,806
21,854
22,697
22,1592
22,64
23,369
23,520
23,218
24,523
24,1605
24,864
25,1195
25,527
25,1345
26,759
26,920
26,480
27,1890
27,635
27,1467
28,1652
28,1338
28,1148
29,1598
29,494
30,531
30,1420
30,135
31,240
31,1846
31,1210
32,233
32,1374
32,763
33,1574
33,1930
33,307
34,606
34,1900
34,673
34,374
34,1670
34,802
34,628
34,1472
34,762
34,729
34,897
34,1000
35,845
35,636
35,612
36,316
36,760
36,246
37,418
37,1073
37,127
38,676
38,181
38,1380
39,1416
39,1494
39,1378
40,1814
40,763
40,1688
41,1852
41,602
42,379
42,1674
42,228
43,1692
43,285
43,232
44,261
44,1927
44,450
45,1049
45,1935
45,648
45,781
45,1039
46,1913
46,935
46,77
46,1832
46,694
47,1727
47,1491
47,277
48,1332
48,1264
49,398
49,493
49,1124
50,1873
50,490
50,545
51,1572
51,1536
51,394
52,474
52,1420
52,894
53,1318
53,558
53,1495
54,325
54,1313
54,230
55,1737
55,224
55,1038
56,1585
56,60
56,1210
57,1426
57,1558
57,366
57,480
57,1533
57,1793
57,1463
57,635
57,1974
58,538
58,1279
58,1758
58,1369
58,1955
58,1502
58,441
58,790
58,288
58,200
58,1614
58,277
58,1509
58,837
58,169
58,577
58,1272
58,1445
58,693
58,562
59,709
59,1138
59,1668
59,1781
59,1469
59,1360
59,914
59,284
59,608
59,1925
59,1359
59,627
59,891
59,413
59,761
59,1600
59,750
59,920
59,1190
59,756
60,911
60,607
60,1166
60,1899
60,115
60,925
60,1423
60,1002
61,366
61,740
61,1371
61,811
61,1263
61,492
61,918
61,1826
61,1659
62,1346
62,1895
62,105
62,530
62,404
62,349
62,270
62,373
62,399
62,1539
62,685
62,127
62,1764
62,1113
62,1364
62,1607
62,1644
62,1818
62,826
62,1582
63,352
63,774
63,1912
63,530
63,395
63,1013
63,1989
63,686
63,642
64,363
64,1676
64,116
64,806
64,928
64,1731
64,1682
64,1297
64,950
64,489
64,854
64,1905
64,1990
64,609
64,630
64,1291
64,1655
64,634
64,1474
65,1604
65,531
65,135
65,541
65,235
65,1200
65,1506
65,1495
65,1963
65,1272
65,1461
65,1088
65,766
65,499
65,731
65,1465
65,753
65,733
65,1658
65,1162
66,1894
66,608
66,413
66,1469
66,372
66,1645
66,1363
66,75
66,1809
66,362
66,891
66,1440
66,1781
66,432
66,1600
66,144
66,1537
66,1190
66,756
67,737
67,267
67,874
67,791
67,1377
67,429
67,1129
67,1709
67,1468
68,1061
68,1330
68,1430
68,508
68,916
68,511
68,1887
68,560
68,1581
69,1468
69,1377
69,1608
