Source,Target
0,1162
0,395
0,1283
1,669
1,603
1,1409
2,937
2,675
2,325
3,1374
3,748
3,1261
4,937
4,325
4,814
5,838
5,853
5,515
6,926
6,721
6,1141
7,1038
7,1331
7,505
8,947
8,1438
8,635
9,88
9,938
9,976
10,501
10,659
10,159
11,444
11,1305
11,259
12,992
12,1440
12,1084
13,367
13,745
13,1459
14,865
14,1375
14,713
15,230
15,597
15,719
16,1100
16,361
16,1247
17,455
17,325
17,1442
18,1252
18,1069
18,1335
19,1336
19,671
19,952
20,110
20,1072
20,175
21,133
21,91
21,1433
22,782
22,806
22,1029
23,1476
23,937
23,814
24,110
24,1315
24,974
25,1031
25,361
25,363
26,470
26,900
26,1219
27,609
27,358
27,714
28,1414
28,1280
28,94
29,1469
29,1165
29,1167
30,466
30,768
30,496
31,592
31,547
31,1145
32,224
32,292
32,1480
33,1332
33,1227
33,1344
34,181
34,1214
34,125
35,616
35,1026
35,481
36,65
36,209
36,644
37,1373
37,763
37,691
38,939
38,1349
38,1241
39,339
39,1150
39,1173
40,566
40,327
40,62
40,1219
40,869
40,364
40,314
40,1238
40,155
41,375
41,699
41,77
41,1032
41,562
41,149
41,815
41,267
41,959
42,689
42,1158
42,479
42,1012
42,1461
42,700
42,1409
42,350
42,1391
42,1378
42,466
42,888
42,1372
43,1038
43,1331
43,468
44,808
44,918
44,758
45,784
45,507
45,1442
46,792
46,362
46,617
47,1053
47,1462
47,1141
48,1232
48,1360
48,712
49,948
49,671
49,526
50,208
50,209
50,1498
51,545
51,181
51,1322
52,257
52,942
52,1138
53,533
53,225
53,1050
53,461
54,415
54,1403
54,174
54,1298
55,186
55,93
55,1352
55,291
55,482
55,746
55,1386
55,128
55,712
56,1198
56,1068
56,1342
56,212
57,715
57,1346
57,387
57,620
58,653
58,1333
58,1358
58,714
59,1476
59,325
59,937
59,814
60,1328
60,187
60,144
60,1163
61,1254
61,705
61,495
61,1335
62,878
62,1340
62,956
63,970
63,65
63,509
63,307
64,1253
64,699
64,79
64,463
64,1055
64,234
64,228
64,326
65,1453
65,970
65,417
65,384
65,1281
65,644
66,1333
66,1270
66,1176
66,1358
66,1448
66,391
66,1387
66,224
67,1258
67,1318
67,1355
67,701
67,1373
67,389
67,637
67,176
68,1329
